,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,-0.09
1,20,0.0,199,4000,0.08
2,20,0.0,299,6000,0.17
3,20,-2.0,399,8000,0.04
4,20,0.0,499,10000,-0.04
5,20,0.0,599,12000,0.09
6,20,1.0,699,14000,0.03
7,20,3.0,799,16000,0.14
8,20,1.0,899,18000,-0.01
9,20,1.0,999,20000,0.16
10,20,-1.0,1099,22000,0.08
11,20,0.0,1199,24000,0.04
12,20,0.0,1299,26000,0.23
13,20,0.0,1399,28000,0.09
14,20,0.0,1499,30000,0.11
15,20,0.0,1599,32000,0.23
16,20,0.0,1699,34000,0.29
17,20,-1.0,1799,36000,0.29
18,20,0.0,1899,38000,0.32
19,20,2.0,1999,40000,0.46
20,20,1.0,2099,42000,0.36
21,20,2.0,2199,44000,0.39
22,20,0.0,2299,46000,0.3
23,20,1.0,2399,48000,0.4
24,20,3.0,2499,50000,0.46
25,20,1.0,2599,52000,0.66
26,20,0.0,2699,54000,0.28
27,20,0.0,2799,56000,0.44
28,20,0.0,2899,58000,0.51
29,20,1.0,2999,60000,0.46
30,20,0.0,3099,62000,0.6
31,20,2.0,3199,64000,0.58
32,20,0.0,3299,66000,0.56
33,20,0.0,3399,68000,0.61
34,20,2.0,3499,70000,0.49
35,20,0.0,3599,72000,0.52
36,20,-1.0,3699,74000,0.68
37,20,1.0,3799,76000,0.66
38,20,-1.0,3899,78000,0.6
39,20,-1.0,3999,80000,0.51
40,20,1.0,4099,82000,0.49
41,20,0.0,4199,84000,0.56
42,20,0.0,4299,86000,0.45
43,20,1.0,4399,88000,0.72
44,20,2.0,4499,90000,0.83
45,20,0.0,4599,92000,0.73
46,20,1.0,4699,94000,0.69
47,20,1.0,4799,96000,0.66
48,20,0.0,4899,98000,0.81
49,20,2.0,4999,100000,0.81
50,20,0.0,5099,102000,0.83
51,20,0.0,5199,104000,0.65
52,20,1.0,5299,106000,0.69
53,20,1.0,5399,108000,0.89
54,20,2.0,5499,110000,0.66
55,20,0.0,5599,112000,0.81
56,20,2.0,5699,114000,0.68
57,20,0.0,5799,116000,0.75
58,20,0.0,5899,118000,0.68
59,20,0.0,5999,120000,0.89
60,20,0.0,6099,122000,0.87
61,20,2.0,6199,124000,0.83
62,20,0.0,6299,126000,0.6
63,20,0.0,6399,128000,0.85
64,20,0.0,6499,130000,0.65
65,20,0.0,6599,132000,0.8
66,20,2.0,6699,134000,0.7
67,20,0.0,6799,136000,0.66
68,20,0.0,6899,138000,0.68
69,20,1.0,6999,140000,0.8
70,20,1.0,7099,142000,0.74
71,20,0.0,7199,144000,0.82
72,20,0.0,7299,146000,0.8
73,20,0.0,7399,148000,0.87
74,20,0.0,7499,150000,0.73
75,20,1.0,7599,152000,0.96
76,20,0.0,7699,154000,0.75
77,20,0.0,7799,156000,0.86
78,20,1.0,7899,158000,0.77
79,20,0.0,7999,160000,0.98
80,20,1.0,8099,162000,0.66
81,20,1.0,8199,164000,1.03
82,20,2.0,8299,166000,0.92
83,20,1.0,8399,168000,0.88
84,20,-1.0,8499,170000,0.79
85,20,-1.0,8599,172000,0.66
86,20,1.0,8699,174000,0.84
87,20,-1.0,8799,176000,0.73
88,20,1.0,8899,178000,0.74
89,20,0.0,8999,180000,0.88
90,20,1.0,9099,182000,1.05
91,20,2.0,9199,184000,0.86
92,20,0.0,9299,186000,0.95
93,20,3.0,9399,188000,0.73
94,20,1.0,9499,190000,1.08
95,20,0.0,9599,192000,0.8
96,20,-1.0,9699,194000,0.83
97,20,1.0,9799,196000,0.82
98,20,1.0,9899,198000,0.74
99,20,1.0,9999,200000,1.0
